"url","text"
"https://pec.ac.in/jobs/privacy-policy","Privacy Statement"
"https://pec.ac.in/jobs/reporting-copyright-infringement","Report Copyright Infringement"
"https://pec.ac.in/tenders/jobs","Jobs"
"https://pec.ac.in/tenders/tenders","Tenders"
"https://pec.ac.in/office-orders","Office Orders"
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/office-orders",""
"https://pec.ac.in/nirf-data-20","NIRF"
"https://pec.ac.in/tenders/node/549","RTI"
"https://pec.ac.in/tenders/tnp/about-cell","Placements"
"https://pec.ac.in/tenders/institute-functionaries","Contact Us"
"https://pec.ac.in/tenders/",""
"https://pec.ac.in/tenders/","Home"
"https://pec.ac.in/tenders/institute","Institute"
"https://pec.ac.in/tenders/history","History"
"https://pec.ac.in/tenders/vision","Vision & Mission"
"https://pec.ac.in/tenders/campus","Campus"
"https://pec.ac.in/tenders/location","Location"
"https://pec.ac.in/tenders/all_events","News and Events"
"https://pec.ac.in/tenders/tenders","Tenders & Quotations"
"https://pec.ac.in/tenders/balance-sheets","Balance Sheets"
"https://pec.ac.in/tenders/faculty-affairs","Faculty Affairs"
"https://pec.ac.in/tenders/institute/iqac-reports","IQAC Reports"
"https://pec.ac.in/tenders/administration","Administration"
"https://pec.ac.in/tenders/board-of-governors","Board Of Governors"
"https://pec.ac.in/tenders/chairman-bog","Chairman, Board of Governors"
"https://pec.ac.in/tenders/director","Director"
"https://pec.ac.in/tenders/senate-members","Senate Members"
"https://pec.ac.in/tenders/building-works-committee","Building & Works Committee"
"https://pec.ac.in/tenders/finance-committee","Finance Committee"
"https://pec.ac.in/tenders/grievance-redressal-committee","Grievance Redressal Committee"
"https://pec.ac.in/tenders/institute-functionaries","Institute Functionaries"
"https://pec.ac.in/tenders/minutes-meetings","Minutes of Meetings"
"https://pec.ac.in/tenders/programmes","Programmes"
"https://pec.ac.in/tenders/programmes/ug/structure","Undergraduate"
"https://pec.ac.in/tenders/programmes/pg/structure","Postgraduate"
"https://pec.ac.in/tenders/programmes/phd","Doctorate"
"https://pec.ac.in/tenders/programmes/student-support","Academic Support for Students"
"https://pec.ac.in/tenders/programmes/accreditation","Accreditation"
"https://pec.ac.in/tenders/programmes/scholarships","Scholarships"
"https://pec.ac.in/tenders/iqac/aqar-reports","IQAC Reports"
"https://pec.ac.in/tenders/admissions","Admissions"
"https://pec.ac.in/tenders/academic-units","Academic Units"
"https://pec.ac.in/tenders/departments","Departments"
"https://pec.ac.in/tenders/centres","Centres"
"https://pec.ac.in/tenders/research/overview","Research"
"https://pec.ac.in/tenders/research/overview","Overview"
"https://pec.ac.in/tenders/research-groups","Research Groups"
"https://pec.ac.in/tenders/sponsored-research","Sponsored Research"
"https://pec.ac.in/tenders/house-projects","In-House Projects"
